,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,x_kpca_rbf,y_kpca_rbf,x_kpca_poly,y_kpca_poly,x_kpca_cos,y_kpca_cos
0,Retail,Other,12669,9656,7561,214,2674,1338,0.052873678513906085,-0.09570202833393905,0.0783737058955521,-0.1731146036428405,0.5047893015158403,0.009622306647377486
1,Retail,Other,7057,9810,9568,1762,3293,1776,0.12964618401642963,-0.16045812129786963,0.18581254641290845,-0.30741471406459697,0.8899412223120095,-0.26283294632794424
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.21020537269667083,0.04844604646265678,0.34170153813262316,0.07504775170557658,0.4739940541267175,0.2356868332458663
3,HoReCa,Other,13265,1196,4221,6404,507,1788,-0.21624322605827742,0.10516496683103857,-0.25330352365834563,0.2503524263190757,-0.6186114271241638,0.37013054428028225
4,Retail,Other,22615,5410,7198,3915,1777,5185,-0.011687374284495105,0.26543162695756484,0.13661671368898717,0.3752792354602764,0.06889953794312631,0.8618293827365124
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.036466297361146295,-0.13284548868140938,-0.088953304338434,-0.21226471169213568,0.10295629527946527,-0.33045648010926554
6,Retail,Other,12126,3199,6975,480,3140,545,-0.0697155932203247,-0.11732621082881504,-0.14353041259380808,-0.16630589319905761,-0.0921679624177764,-0.28989192765361294
7,Retail,Other,7579,4956,9426,1669,3321,2566,0.04375944384291876,-0.14661913883939387,0.0408969858378443,-0.2627155987279704,0.5540934639173398,-0.34755086203661506
8,HoReCa,Other,5963,3648,6192,425,1716,750,-0.09675019886902207,-0.20506029089817543,-0.22048402954290264,-0.3051577883697476,-0.15578901423447727,-0.6896927304727346
9,Retail,Other,6006,11093,18881,1159,7425,2098,0.49366857218997856,-0.15555600801111785,0.7089688368462724,-0.2911925018216325,1.1648509491774437,0.023746724906467166
10,Retail,Other,3366,5403,12974,4400,5977,1744,0.2106778090188271,-0.16964359555283165,0.31974064092419574,-0.3065245780476245,0.86490209329267,-0.19286306252342636
11,Retail,Other,13146,1124,4523,1420,549,497,-0.22150693569650962,-0.04301981096108621,-0.35545182556925053,0.013874803248531666,-0.6524416952788552,-0.10638673171860977
12,Retail,Other,31714,12319,11757,287,3881,2931,0.2047987318660786,0.2930467306242142,0.38544654450739446,0.33572883668073583,0.5189256754099244,0.8891844129165526
13,Retail,Other,21217,6208,14982,3095,6707,602,0.22492371282292775,0.08412699715331325,0.38950060072832154,0.05937381327534829,0.7459587900333253,0.6652437528164209
14,Retail,Other,24653,9465,12091,294,5058,2168,0.19615395161835378,0.13023054987066882,0.3555111665729349,0.1442177849516532,0.6716997036238878,0.7605400813714223
15,HoReCa,Other,10253,1114,3821,397,964,412,-0.20604613498047022,-0.11610486588018877,-0.3543552000608612,-0.11021859390248892,-0.5245171920456188,-0.34778855844424866
16,Retail,Other,1020,8816,12121,134,4508,1080,0.2274828041034752,-0.28469273656532,0.3226356449874316,-0.47221899771116554,0.8519358136546634,-0.546035266732378
17,HoReCa,Other,5876,6157,2933,839,370,4478,-0.07176423537634714,-0.0875503873566996,-0.07000249896230751,-0.09035047264311911,-0.033220293296646934,-0.11493113644620039
18,Retail,Other,18601,6327,10099,2205,2767,3181,0.03992590448697314,0.08402689619844292,0.11654191916216393,0.11785312476009356,0.38766037522140107,0.8429922154646656
19,HoReCa,Other,7780,2495,9464,669,2518,501,-0.04484567184704727,-0.18519562960453717,-0.12022755406904632,-0.2835482007710935,0.04476543644367391,-0.5527699503922411
20,Retail,Other,17546,4519,4602,1066,2259,2124,-0.11095404619357684,0.03344697483640411,-0.14690021076745388,0.09957113896938698,-0.3075208902858988,0.44318830528889236
21,HoReCa,Other,5567,871,2010,3383,375,569,-0.24353177280560862,-0.11311006709485741,-0.3995107138663487,-0.0926408201774206,-0.6188073618880087,-0.3876127760478731
22,HoReCa,Other,31276,1917,4469,9408,2381,4334,-0.06805144353149092,0.5381913850229696,0.20435998773200142,0.6356359259636722,-0.15600433489142088,1.0050370853124677
23,Retail,Other,26373,36423,22019,5154,4337,16523,0.45142794629922584,0.4340437448097883,0.39026615726914965,0.256949602573422,0.7065213342862839,0.6250312465235662
24,Retail,Other,22647,9776,13792,2915,4482,5778,0.26356482638519285,0.2284983286687023,0.42781654073334824,0.22478368660722733,0.651664740208121,0.8093177360160556
25,Retail,Other,16165,4230,7595,201,4003,57,-0.02340088029082447,-0.05949553065770308,-0.03163512873405405,-0.07255095160998658,0.11452974129428214,0.06812692646640407
26,HoReCa,Other,9898,961,2861,3151,242,833,-0.24970476690457316,-0.048685616761006044,-0.40014060362739423,0.00853541469734833,-0.7423357127810758,-0.17657511608256213
27,HoReCa,Other,14276,803,3045,485,100,518,-0.2491491000458861,-0.027513499020590096,-0.37005251264551237,0.05391791921403444,-0.6391505057184972,-0.07438347274703094
28,Retail,Other,4113,20484,25957,1158,8604,5206,0.7542725293909501,0.04020315600901949,0.7016207368605808,0.07310145750804095,1.124945328050573,0.21303748583376186
29,HoReCa,Other,43088,2100,2609,1200,1107,823,-0.12638479479376746,0.5346064697582527,0.18268354738980785,0.6814840445911234,-0.27649261022401883,0.8502143237539176
30,HoReCa,Other,18815,3610,11107,1148,2134,2963,-0.007407037413694821,0.06725798705065196,0.04311921712672606,0.11745335924201455,0.16493083317346766,0.6234542505990079
31,HoReCa,Other,2612,4339,3133,2088,820,985,-0.14954951184126347,-0.19973477021747024,-0.2947866262456746,-0.2721066923785619,-0.32028322774489426,-0.6543615200910099
32,HoReCa,Other,21632,1318,2886,266,918,405,-0.22685196768119809,0.10124602462623555,-0.25157205246868547,0.2660610840718822,-0.5331976714561585,0.3096951135050879
33,HoReCa,Other,29729,4786,7326,6130,361,1083,-0.1282850581623546,0.39989909750534386,0.0418235028907644,0.6263327105684743,-0.26571277634927415,1.0160176758685076
34,HoReCa,Other,1502,1979,2262,425,483,395,-0.18919553651563356,-0.23384049513375846,-0.33950761274923474,-0.2859829888576615,-0.3553345601724852,-0.6617378578423456
35,Retail,Other,688,5491,11091,833,4239,436,0.12567680076707416,-0.2926489592380956,0.15318548998698023,-0.47204627497468227,0.6000385488030897,-0.6994720898570789
36,HoReCa,Other,29955,4362,5428,1729,862,4626,-0.07490778440677777,0.3587250569986075,0.11579078334966644,0.5158516314924014,-0.1089655907629359,0.8729278267080999
37,Retail,Other,15168,10556,12477,1920,6506,714,0.2779010566489662,-0.04514595628102538,0.4474462104001666,-0.15055607597941165,1.0110854714933875,0.3545071689871434
38,Retail,Other,4591,15729,16709,33,6956,433,0.5088895400207489,-0.17992972966704668,0.6931422223897346,-0.27107464556930283,1.066999096572845,-0.08668972605110867
39,HoReCa,Other,56159,555,902,10002,212,2916,0.0011534773885987877,0.8220882021752699,0.38129056315361054,0.5589487619332957,-0.2658160897709318,1.0520557688481054
40,HoReCa,Other,24025,4332,4757,9510,1145,5864,-0.032239955548381376,0.4461745338424912,0.2115296314258811,0.5158501567286049,-0.0706633043811793,0.8768592401126599
41,HoReCa,Other,19176,3065,5956,2033,2575,2802,-0.09802047435051145,0.09632757038358689,-0.09230035545523266,0.19668690026864863,-0.22676153440559005,0.681270474537002
42,Retail,Other,10850,7555,14961,188,6899,46,0.29889717776416963,-0.15737636426047763,0.46300101226479146,-0.2927065312654559,0.9339095988837433,-0.041495931034715244
43,Retail,Other,630,11095,23998,787,9529,72,0.6333539368942155,-0.18079964350409652,0.7874656499758457,-0.2060123987575109,1.07821103053817,-0.12640716133471094
44,Retail,Other,9670,7027,10471,541,4618,65,0.11821939187426736,-0.17633709856656557,0.16846143696562343,-0.31606742675509564,0.6993504189316262,-0.3014026813903084
45,Retail,Other,5181,22044,21531,1740,7353,4985,0.689796449644572,0.03594302634918043,0.6868279055313026,0.053047797260249066,1.0837711459780297,0.23881263381467716
46,Retail,Other,3103,14069,21955,1668,6792,1452,0.5735478600785708,-0.15203914947613245,0.7630314684360967,-0.23766436946537103,1.1362540837239703,-0.007844312938152407
47,Retail,Other,44466,54259,55571,7782,24171,6465,0.43494532563026256,0.44154087493624455,0.39027272891472964,0.25796698855143496,1.0468195374740168,0.6355703661769256
48,Retail,Other,11519,6152,10868,584,5121,1476,0.13561872349870402,-0.13176945434573703,0.20654515531327855,-0.2600170566936906,0.8848206201740582,-0.06628411696761602
49,Retail,Other,4967,21412,28921,1798,13583,1163,0.8621295544651941,0.06057279612839377,0.7289714387313021,0.11588236817646203,1.1659077580747395,0.1655320277455521
50,HoReCa,Other,6269,1095,1980,3860,609,2162,-0.22105886892878052,-0.07080960169479131,-0.3430795910530943,-0.035973347916172904,-0.5820706110905147,-0.2261973041128452
51,HoReCa,Other,3347,4051,6996,239,1538,301,-0.07204337365610985,-0.24879079560415732,-0.18086905028942601,-0.36795041693233754,-0.028722944939420278,-0.7430876992955525
52,Retail,Other,40721,3916,5876,532,2587,1278,-0.052117528573165386,0.4684989831224589,0.2038552173913671,0.6261716702573181,-0.08674957266417054,0.8909028791210399
53,Retail,Other,491,10473,11532,744,5611,224,0.27894702123292897,-0.28101926518620596,0.4039493331332733,-0.4491321359123346,0.8740988275952079,-0.4758487853096413
54,HoReCa,Other,27329,1449,1947,2436,204,1333,-0.2452630725767849,0.28600811117081176,-0.16262992294600198,0.5367169722978511,-0.5661236177888774,0.6849596429801807
55,HoReCa,Other,5264,3683,5005,1057,2024,1130,-0.10371286656973489,-0.19973664295373034,-0.23365873481870766,-0.2988588835089221,-0.20194242985976515,-0.7210255982115942
56,Retail,Other,4098,29892,26866,2616,17740,1340,0.8391977821271885,0.20429638087101068,0.5426398038264193,0.23277421501496823,1.1345482302711065,0.20080584685527628
57,Retail,Other,5417,9933,10487,38,7572,1282,0.31854221346186723,-0.22071311812153122,0.47467771286357036,-0.3834965416127777,0.9906745830480066,-0.2410497362731377
58,HoReCa,Other,13779,1970,1648,596,227,436,-0.2501364703788845,-0.0351243708703212,-0.37828293057305623,0.038965550005331764,-0.6503694520222107,-0.10235035203594303
59,HoReCa,Other,6137,5360,8040,129,3084,1603,0.018968371895105036,-0.21248886497021374,-0.022022933753792804,-0.35734584140664943,0.37312130869020815,-0.6586893364667847
60,Retail,Other,8590,3045,7854,96,4095,225,-0.011511233389875431,-0.1927538496606905,-0.05983051989665639,-0.29868814403366756,0.1794932623136864,-0.5060044485503942
61,Retail,Other,35942,38369,59598,3254,26701,2017,0.5104345084293163,0.44342187726217036,0.39299139703675867,0.25962039045666296,1.0963961681567718,0.5179666938410346
62,Retail,Other,7823,6245,6544,4154,4074,964,0.009010223963096793,-0.11331377862381858,-0.009699948119070656,-0.19621106885775383,0.35342997336563764,-0.3086495975566462
63,Retail,Other,9396,11601,15775,2896,7677,1295,0.4270871287557405,-0.1007127399532314,0.6401918706005629,-0.24099799892956245,1.1558068953920957,0.178635049252105
64,HoReCa,Other,4760,1227,3250,3724,1247,1145,-0.19489949130152276,-0.12720400654956437,-0.33968773404833646,-0.13477912051815083,-0.5182627933852391,-0.43222666163553647
65,Retail,Other,85,20959,45828,36,24231,1423,0.7539503554469694,0.31010138740553894,0.4410358671167091,0.2616736195916996,1.1483957385883077,0.1352469320900647
66,HoReCa,Other,9,1534,7417,175,3468,27,-0.025740851286433965,-0.29706174231487475,-0.09322374084288987,-0.41307713761200326,0.10625886719030268,-0.7534036783570164
67,Retail,Other,19913,6759,13462,1256,5141,834,0.1625888075147996,0.028913676779728004,0.292404641670514,0.0001268740718930438,0.721971166189186,0.5778175984956192
68,HoReCa,Other,2446,7260,3993,5870,788,3095,-0.059720274344778286,-0.0674909329470752,-0.059970701169715736,-0.06292199893640744,-0.015172720740140177,-0.09582649452127666
69,HoReCa,Other,8352,2820,1293,779,656,144,-0.2217294468127834,-0.13367123031116143,-0.3794441601753929,-0.13546815859725864,-0.5404623323910838,-0.41775175158718936
70,HoReCa,Other,16705,2037,3202,10643,116,1365,-0.19297475357562952,0.2927414674822362,-0.0506065913223727,0.48102575194277264,-0.42144743365695836,0.5814482961589558
71,HoReCa,Other,18291,1266,21042,5373,4173,14472,0.36147687186406524,0.3938445308299717,0.39925975518939444,0.26347509037127353,0.42844677839838125,0.5388427699211273
72,HoReCa,Other,4420,5139,2661,8872,1321,181,-0.1307165970681754,0.007139419616990655,-0.11135435138412915,0.09607355497591534,-0.23545139439705048,-0.003343899473301523
73,Retail,Other,19899,5332,8713,8132,764,648,-0.09581084189636528,0.24528987711419567,0.0008987162689011413,0.40940831904177866,-0.1884618283415237,0.8126110518976687
74,Retail,Other,8190,6343,9794,1285,1901,1780,0.015635017771267128,-0.14957068311069752,-0.01072082002816955,-0.2624405643679481,0.42509586397263766,-0.45365346639422
75,HoReCa,Other,20398,1137,3,4407,3,975,-0.29279469672820263,0.19668796820086568,-0.2988019728448944,0.4165342524963786,-0.7545245986949446,0.47757790413847373
76,HoReCa,Other,717,3587,6532,7530,529,894,-0.1078183422764665,-0.08298364178919952,-0.12822467153058612,-0.04654708810697796,-0.16476232815659417,-0.21796638427731924
77,Retail,Other,12205,12697,28540,869,12034,1009,0.7513010200440421,0.012606672707023625,0.7923752448833208,0.007641589923587497,1.120639496277414,0.24194671092944858
78,HoReCa,Other,10766,1175,2067,2096,301,167,-0.25743951117413977,-0.062071937035833614,-0.4098498165501624,-0.00688327127086188,-0.7004238678739128,-0.2178807568443943
79,HoReCa,Other,1640,3259,3655,868,1202,1653,-0.12795969270440205,-0.2297405109441159,-0.2610406538069761,-0.3184717675598496,-0.20982097097593064,-0.6871863036900918
80,HoReCa,Other,7005,829,3009,430,610,529,-0.21687066934636734,-0.158190094480449,-0.37791558088672694,-0.17308419907797296,-0.5043193191568108,-0.48017273279403966
81,Retail,Other,219,9540,14403,283,7818,156,0.39762797424242136,-0.2772839137719737,0.5725819154133499,-0.4145797417023822,0.9656659322700974,-0.3749778514272848
82,Retail,Other,10362,9232,11009,737,3537,2342,0.15562033900879216,-0.11935623137668748,0.24022639466350493,-0.24484206557609867,0.9380307119266691,0.02231177815291661
83,HoReCa,Other,20874,1563,1783,2320,550,772,-0.25765635832255995,0.13988625323960643,-0.2961826933974486,0.33081418448807176,-0.69084816470388,0.42608215256370663
84,Retail,Other,11867,3327,4814,1178,3837,120,-0.0860399135778701,-0.11117096801091869,-0.1648772854952067,-0.1475219150071061,-0.15945036141570285,-0.27285492153587604
85,Retail,Other,16117,46197,92780,1026,40827,2944,0.37939781887327056,0.4217476697144799,0.3883366736832274,0.25626373495613336,1.14962730467541,0.3385310835504952
86,Retail,Other,22925,73498,32114,987,20070,903,0.40490392171366896,0.42097875944509633,0.3884367447992919,0.2563393057787002,0.9724824531993261,0.38336762852050366
87,HoReCa,Other,43265,5025,8117,6312,1579,14351,0.2789329798705153,0.5687683065439963,0.39483034971193925,0.28256357248171654,0.1771470297673008,0.837456783915144
88,HoReCa,Other,7864,542,4042,9735,165,46,-0.20145112067562107,0.10140601877658681,-0.14163510995777168,0.24733068217591675,-0.4201080075104554,0.14159061626856878
89,HoReCa,Other,24904,3836,5330,3443,454,3178,-0.14695611533869796,0.2756174663879382,-0.05385762013279195,0.4779438454720911,-0.3295105011262144,0.9016782884608262
90,HoReCa,Other,11405,596,1638,3347,69,360,-0.2786526625861948,-0.013904429429952238,-0.41366092797510934,0.0791379530274059,-0.7648710686059706,-0.08585343388841192
91,HoReCa,Other,12754,2762,2530,8693,627,1117,-0.20459268240444772,0.15616091755812272,-0.17362761022052645,0.32250877373418224,-0.4874605703811685,0.3928984954587663
92,Retail,Other,9198,27472,32034,3232,18906,5130,0.8333454214028613,0.2811143014915985,0.5108182391595898,0.25525282250221787,1.154835090436997,0.3403682040082502
93,HoReCa,Other,11314,3090,2062,35009,71,2698,0.2824341417452918,0.5047582272413775,0.39003501513109584,0.26391317650155055,-0.041399223011035345,0.5324876653575953
94,Retail,Other,5626,12220,11323,206,5038,244,0.2720800867303912,-0.21677829672043725,0.40488126797222923,-0.3705245523594402,0.9028491020028354,-0.26788944357674715
95,HoReCa,Other,3,2920,6252,440,223,709,-0.11777952089035533,-0.26320760865188064,-0.2406006008985139,-0.3535239289116524,-0.15294248141700917,-0.7259523252920133
96,Retail,Other,23,2616,8118,145,3874,217,0.016819649058288363,-0.3038568881263291,-0.028894103489517747,-0.44301064413346536,0.2375636987341917,-0.7668978256775629
97,HoReCa,Other,403,254,610,774,54,63,-0.23290476518451586,-0.22000370434664127,-0.36414555189200815,-0.22878674663581572,-0.43847918949032555,-0.6101071903197047
98,HoReCa,Other,503,112,778,895,56,132,-0.23396123301421648,-0.21704585925129466,-0.3674269063091254,-0.22596087671538273,-0.4447429754030157,-0.605494670178698
99,HoReCa,Other,9658,2182,1909,5639,215,323,-0.24763015220377632,0.008020704432845022,-0.34498254262196726,0.10798564535391833,-0.6720002351437817,-0.012278377094863784
100,Retail,Other,11594,7779,12144,3252,8035,3029,0.3096213680984108,-0.043580657238929815,0.48117083153627926,-0.14905364291346046,1.0212350486524617,0.3420047572090168
101,Retail,Other,1420,10810,16267,1593,6766,1838,0.42740737955827934,-0.22247803261972252,0.6231583558865993,-0.3777794219427698,1.1107038954484227,-0.19909247065608013
102,Retail,Other,2932,6459,7677,2561,4573,1386,0.08268564333822886,-0.22224091113867114,0.08900658922927457,-0.38479385363196383,0.6231288952200011,-0.6441470321122069
103,HoReCa,Other,56082,3504,8906,18028,1480,2498,0.15657822024412574,0.803195033783033,0.4084907056239096,0.396070067382626,-0.055796439720109725,1.0789826233293738
104,HoReCa,Other,14100,2132,3445,1336,1491,548,-0.2003629111033987,-0.03618950340397414,-0.3249884778073255,0.017460408486121837,-0.6290412356346766,-0.05669671931893597
105,HoReCa,Other,15587,1014,3970,910,139,1378,-0.23225288752279608,0.011321915828106922,-0.33552612925542163,0.10881062631909441,-0.6500958512772903,0.09097042990690467
106,Retail,Other,1454,6337,10704,133,6830,1831,0.2467891918992703,-0.27331735032138094,0.3559703986970576,-0.44541104285488664,0.8500377029836903,-0.4713498439595628
107,Retail,Other,8797,10646,14886,2471,8969,1438,0.44481873088107526,-0.11626432950307115,0.656957606131547,-0.2530671506188991,1.1328766118030593,0.12548255234789168
108,Retail,Other,1531,8397,6981,247,2505,1236,0.05376210243417164,-0.26654737047735344,0.032545962913498774,-0.42573239496644505,0.41992451566106814,-0.692318368725321
109,Retail,Other,1406,16729,28986,673,836,3,0.5044140636183125,-0.08404936871615262,0.5670440133693175,-0.021764297216002305,0.8466076744483279,-0.03293784358576716
110,HoReCa,Other,11818,1648,1694,2276,169,1647,-0.2506369133641357,-0.01980256205010313,-0.38564182829911003,0.05338208702174725,-0.7471941380562046,-0.05236900511488971
111,Retail,Other,12579,11114,17569,805,6457,1519,0.40758137665698163,-0.08602705042351418,0.6149712853516305,-0.21542501511716694,1.1266111371117145,0.2332482770827156
112,HoReCa,Other,19046,2770,2469,8853,483,2708,-0.1877394602049745,0.303027792080327,-0.06586962261253473,0.5015456168575972,-0.42732050342881694,0.7242482326350235
113,HoReCa,Other,14438,2295,1733,3220,585,1561,-0.24212101885311837,0.04259139796724796,-0.34891183579487267,0.15647688408535781,-0.7945223177263407,0.19983769694860692
114,HoReCa,Other,18044,1080,2000,2555,118,1266,-0.26787320957996885,0.10016815048450887,-0.3411472876164218,0.2651940618756572,-0.7609371665114107,0.3218048939116362
115,HoReCa,Other,11134,793,2988,2715,276,610,-0.25296654488710174,-0.04011676688459735,-0.4010285754637832,0.0256201598903781,-0.744673654922228,-0.1425020654685161
116,HoReCa,Other,11173,2521,3355,1517,310,222,-0.22265548165073976,-0.0764963456297631,-0.37284411644167365,-0.045331402779864985,-0.6432933308950813,-0.2430237116066704
117,HoReCa,Other,6990,3880,5380,1647,319,1160,-0.15390505247913772,-0.14439015260448504,-0.29763247344282573,-0.1925040954186269,-0.4455800242829282,-0.5152476244213479
118,HoReCa,Other,20049,1891,2362,5343,411,933,-0.2514490006307346,0.19922464212100682,-0.2559813286399126,0.4135922402946948,-0.6971472467333837,0.592481118820543
119,HoReCa,Other,8258,2344,2147,3896,266,635,-0.2382797547231269,-0.06193182328212484,-0.3848570462579954,-0.017045820057282758,-0.6973197868558402,-0.22874081434465485
120,HoReCa,Other,17160,1200,3412,2417,174,1136,-0.24937158427046657,0.07136644304221094,-0.3382159568239349,0.21355761823079383,-0.7517771197964334,0.2784161754866318
121,HoReCa,Other,4020,3234,1498,2395,264,255,-0.21381724276768704,-0.16409091805056922,-0.37257923358882655,-0.18563089819244347,-0.5004713871574356,-0.5266646762265577
122,HoReCa,Other,12212,201,245,1991,25,860,-0.29201822346859,-0.016083334730064864,-0.42435483891612386,0.07877409271485111,-0.7554520510958851,-0.09267804919765946
123,Retail,Other,11170,10769,8814,2194,1976,143,0.05645790475706647,-0.08950180436705643,0.09054443614693253,-0.16089831311668926,0.4593130169470626,0.005875231508594715
124,HoReCa,Other,36050,1642,2961,4787,500,1621,-0.1845628932857457,0.5070191477599811,0.06833101231458255,0.7353255086402098,-0.39416191484703433,0.9411586573550247
125,HoReCa,Other,76237,3473,7102,16538,778,918,0.22607040997840613,0.7732284267090652,0.40682300095776197,0.3174255981544435,-0.09843482792804402,1.0934505656951086
126,HoReCa,Other,19219,1840,1658,8195,349,483,-0.2442222450626355,0.2589809485847648,-0.16882061944967594,0.47507160880095894,-0.580324600667185,0.5714711329502036
127,Retail,Other,21465,7243,10685,880,2386,2749,0.04992707875912447,0.10697728116052897,0.14505130547022568,0.15897498780264654,0.3682469583780534,0.7896823044663951
128,HoReCa,Other,140,8847,3823,142,1062,3,-0.03383067202319947,-0.267839470634345,-0.09016179496558321,-0.3645627782042595,0.09424987307299854,-0.6576480425920515
129,HoReCa,Other,42312,926,1510,1718,410,1819,-0.1553662196808632,0.5523462486611447,0.1652117735472861,0.7019507615988394,-0.3444181385930851,0.8609681703287703
130,HoReCa,Other,7149,2428,699,6316,395,911,-0.23844093502111627,-0.004176569377076183,-0.31819281870118515,0.08791208283469468,-0.597433248823578,-0.05936316455418332
131,HoReCa,Other,2101,589,314,346,70,310,-0.23815291291009097,-0.20587931624902023,-0.3790241248745069,-0.21587082184977677,-0.463578501034536,-0.578713797639558
132,HoReCa,Other,14903,2032,2479,576,955,328,-0.22455448409449894,-0.02775006686845649,-0.34171939430071546,0.04547060965434417,-0.602138661056144,-0.04994119202087889
133,HoReCa,Other,9434,1042,1235,436,256,396,-0.252915847229952,-0.10894680371044516,-0.4060073391274111,-0.0804023943253727,-0.6026583826788335,-0.339017692885771
134,HoReCa,Other,7388,1882,2174,720,47,537,-0.23177236419238964,-0.14091281591969848,-0.39634337074922665,-0.14462575969882996,-0.5606181849094811,-0.44070519203264313
135,HoReCa,Other,6300,1289,2591,1170,199,326,-0.23033986812921337,-0.15295641660549575,-0.39732774261838966,-0.1621799881117455,-0.5495345274104404,-0.4815972133534385
136,HoReCa,Other,4625,8579,7030,4575,2447,1542,0.02596210541759141,-0.12889709892575485,0.021893285183876305,-0.2159418420701765,0.3741944617519522,-0.28567550988021717
137,HoReCa,Other,3087,8080,8282,661,721,36,-0.006199399100457039,-0.2367435759723469,-0.053585155722645536,-0.3549901624963501,0.19258974877105098,-0.6077837322404098
138,HoReCa,Other,13537,4257,5034,155,249,3271,-0.12701414053323395,-0.015194587013337318,-0.16553635977965028,0.023426381250421093,-0.25045509731565224,0.12383531051663267
139,HoReCa,Other,5387,4979,3343,825,637,929,-0.14741294846652853,-0.18465047488707012,-0.2905099077731136,-0.2537742241842666,-0.32611471389424307,-0.5968350946932288
140,HoReCa,Other,17623,4280,7305,2279,960,2616,-0.10815885478616753,0.07714576318792231,-0.12177803098212525,0.16569803317833573,-0.3123403321213215,0.6598433811338884
141,HoReCa,Other,30379,13252,5189,321,51,1450,0.0025600922844108277,0.2918447484906806,0.18551001238519735,0.40623128824456267,0.08226444234570242,0.7478100019184146
142,HoReCa,Other,37036,7152,8253,2995,20,3,-0.06903974565132956,0.44901148658369,0.16751582885839325,0.6198053550109607,-0.11708384057119775,0.9194240321215174
143,HoReCa,Other,10405,1596,1096,8425,399,318,-0.24053099213518284,0.10764982976925383,-0.2282951952676479,0.2630504415821841,-0.551243095397094,0.18826236614005282
144,HoReCa,Other,18827,3677,1988,118,516,201,-0.2181630329551311,0.042378193904881664,-0.277653542639861,0.16401730974887269,-0.5274023981279825,0.1708198170267597
145,Retail,Other,22039,8384,34792,42,12591,4430,0.7117027383037547,0.19387878871745365,0.5947264081346469,0.17396911873125803,1.006141229184228,0.4679103827562506
